,OrderID,ProductNo,Volume,BuildByDate,OrderDate,PrepDate,PrepVolume,UnitizeNLT,ShipNLTDate,BulkQCDate,AmpDate,GreenSheet,SOLink,Notes
81,81828.0,80-6002-68,200.0,2017-02-02 00:00:00,2017-01-30,2020-01-25,200.0,2017-02-03 00:00:00,2017-02-10 00:00:00,2020-01-27,2020-01-27,2017-02-10 00:00:00,992030,Biochrom
82,69261.0,80-6002-68,500.0,2015-08-13 00:00:00,2015-08-12,2020-01-25,200.0,2015-08-14 00:00:00,2015-08-17 00:00:00,2020-01-27,2020-01-27,2015-08-17 00:00:00,BioChrom,RM Hold-Temp number   Specific RM necessary
83,100416.0,PPM-608B-1,50.0,2019-04-16 00:00:00,2019-04-12,2020-01-30,50.0,2019-04-17 00:00:00,2019-04-19 00:00:00,2020-01-30,2020-01-31,2019-04-18 00:00:00,101044373,
84,102965.0,PPM-608B-1,50.0,2019-08-15 00:00:00,2019-08-05,2020-01-30,50.0,2019-08-16 00:00:00,2019-08-18 00:00:00,2020-01-30,2020-01-31,2019-08-17 00:00:00,101077470,
85,107195.0,PPM-608B-1,25.0,2020-01-24 00:00:00,2020-01-22,2020-01-30,50.0,2020-01-27 00:00:00,2020-01-29 00:00:00,2020-01-30,2020-01-31,2020-01-28 00:00:00,101136504,qc 2 - untiize 5
86,100190.0,PST-1845M100A01,50.0,2019-04-01 00:00:00,2019-03-29,2020-01-31,100.0,2019-04-02 00:00:00,2019-04-04 00:00:00,2020-01-31,2020-02-03,2019-04-03 00:00:00,,Process order 101040549
87,100190.0,PST-1845M100A01,50.0,2019-04-01 00:00:00,2019-03-29,2020-01-31,100.0,2019-04-02 00:00:00,2019-04-04 00:00:00,2020-01-31,2020-02-03,2019-04-03 00:00:00,,Process order 101040549
88,101349.0,PST-1845M100A01,50.0,2019-05-29 00:00:00,2019-05-24,2020-01-31,100.0,2019-05-30 00:00:00,2019-06-03 00:00:00,2020-01-31,2020-02-03,2019-05-31 00:00:00,101057283,
89,101349.0,PST-1845M100A01,50.0,2019-05-29 00:00:00,2019-05-24,2020-01-31,100.0,2019-05-30 00:00:00,2019-06-03 00:00:00,2020-01-31,2020-02-03,2019-05-31 00:00:00,101057283,
90,107273.0,PST-1845M100A01,25.0,2020-01-27 00:00:00,2020-01-24,2020-01-31,100.0,2020-01-28 00:00:00,2020-01-30 00:00:00,2020-01-31,2020-02-03,2020-01-29 00:00:00,101137334,QC 2 - ampule ALL (note updated PLW_
91,107273.0,PST-1845M100A01,25.0,2020-01-27 00:00:00,2020-01-24,2020-01-31,100.0,2020-01-28 00:00:00,2020-01-30 00:00:00,2020-01-31,2020-02-03,2020-01-29 00:00:00,101137334,QC 2 - ampule ALL (note updated PLW_
92,107444.0,PST-1845M100A01,50.0,2020-02-06 00:00:00,2020-02-03,2020-01-31,100.0,2020-02-07 00:00:00,2020-02-14 00:00:00,2020-01-31,2020-02-03,2020-02-13 00:00:00,101139688,
93,107444.0,PST-1845M100A01,50.0,2020-02-06 00:00:00,2020-02-03,2020-01-31,100.0,2020-02-07 00:00:00,2020-02-14 00:00:00,2020-01-31,2020-02-03,2020-02-13 00:00:00,101139688,
94,91966.0,PST-1845M100A01,50.0,2018-04-17 00:00:00,2018-04-04,2020-01-31,100.0,2018-04-18 00:00:00,2018-04-20 00:00:00,2020-01-31,2020-02-03,2018-04-19 00:00:00,Thermo,
95,91966.0,PST-1845M100A01,50.0,2018-04-17 00:00:00,2018-04-04,2020-01-31,100.0,2018-04-18 00:00:00,2018-04-20 00:00:00,2020-01-31,2020-02-03,2018-04-19 00:00:00,Thermo,
96,107453.0,PST-1845M100A01,100.0,2020-02-04 00:00:00,2020-02-04,2020-01-31,100.0,,2020-02-05 00:00:00,2020-01-31,2020-02-03,,,
97,107453.0,PST-1845M100A01,100.0,2020-02-04 00:00:00,2020-02-04,2020-01-31,100.0,,2020-02-05 00:00:00,2020-01-31,2020-02-03,,,
98,80428.0,QRR010934,2000000.0,2016-12-14 00:00:00,2016-12-05,2020-02-03,2000000.0,2016-12-15 00:00:00,2016-12-16 00:00:00,2020-02-03,2020-02-05,2016-12-16 00:00:00,Mechatronics,
99,84329.0,QRR010934,2000000.0,2017-05-30 00:00:00,2017-05-16,2020-02-03,2000000.0,2017-05-31 00:00:00,2017-06-02 00:00:00,2020-02-03,2020-02-05,2017-06-01 00:00:00,Mechatronics,
100,79956.0,QRR010934,2000000.0,2016-11-21 00:00:00,2016-11-09,2020-02-03,2000000.0,2016-11-22 00:00:00,2016-11-23 00:00:00,2020-02-03,2020-02-05,2016-11-23 00:00:00,Mechatronics,
101,79406.0,QRR010934,2000000.0,2016-10-31 00:00:00,2016-10-17,2020-02-03,2000000.0,2016-11-01 00:00:00,2016-11-02 00:00:00,2020-02-03,2020-02-05,2016-11-02 00:00:00,Rinse - Mechatronics,
102,78936.0,QRR010934,2000000.0,2016-10-05 00:00:00,2016-09-22,2020-02-03,2000000.0,2016-10-06 00:00:00,2016-10-07 00:00:00,2020-02-03,2020-02-05,2016-10-07 00:00:00,Mechatronics,
