127.0.0.1, 2019-10-01 10:40:24, GET, /admin/default/design/pluralsight, HTTP/1.1, 200, 0.169000
127.0.0.1, 2019-10-01 10:40:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-10-01 10:40:50, POST, /admin/default/create_file, HTTP/1.1, 303, 0.032000
127.0.0.1, 2019-10-01 10:40:50, GET, /admin/default/design/pluralsight, HTTP/1.1, 200, 0.115000
127.0.0.1, 2019-10-01 10:40:52, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2019-10-01 10:40:56, GET, /admin/default/edit/pluralsight/controllers/basics.py, HTTP/1.1, 200, 0.037000
127.0.0.1, 2019-10-01 10:40:56, GET, /admin/static/_2.18.5/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-10-01 10:40:56, GET, /admin/static/_2.18.5/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-10-01 10:40:56, GET, /admin/static/_2.18.5/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-10-01 10:40:56, GET, /admin/static/_2.18.5/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-10-01 10:40:56, GET, /admin/static/_2.18.5/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-10-01 10:40:56, GET, /admin/static/_2.18.5/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-10-01 10:40:56, GET, /admin/static/_2.18.5/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-10-01 10:40:56, GET, /admin/static/_2.18.5/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-10-01 10:40:56, GET, /admin/static/_2.18.5/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-10-01 10:40:56, GET, /admin/static/_2.18.5/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-10-01 10:40:56, GET, /admin/static/_2.18.5/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-10-01 10:40:56, GET, /admin/static/_2.18.5/css/web2py-codemirror.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-10-01 10:40:56, GET, /admin/static/_2.18.5/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-10-01 10:40:56, GET, /admin/static/_2.18.5/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-10-01 10:40:56, GET, /admin/static/_2.18.5/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-10-01 10:40:56, GET, /admin/static/_2.18.5/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-10-01 10:40:56, GET, /admin/static/_2.18.5/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.003000

127.0.0.1, 2019-10-01 10:40:56, GET, /admin/static/_2.18.5/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-10-01 10:40:56, GET, /admin/static/_2.18.5/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-10-01 10:40:56, GET, /admin/static/_2.18.5/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-10-01 10:40:56, GET, /admin/static/_2.18.5/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-10-01 10:40:56, GET, /admin/static/_2.18.5/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-10-01 10:40:56, GET, /admin/static/_2.18.5/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-10-01 10:40:56, GET, /admin/static/_2.18.5/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-10-01 10:40:56, GET, /admin/static/_2.18.5/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-10-01 10:40:56, GET, /admin/static/_2.18.5/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-10-01 10:40:56, GET, /admin/static/_2.18.5/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-10-01 10:40:56, GET, /admin/static/_2.18.5/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.003000
